IATA_Code,Airport,City
TRT,Tremonton,Tremonton
TRU,Trujillo Airport,Huanchaco
TRV,Trivandrum International Airport,Thiruvananthapuram
TRW,Bonriki Airport,Betio Village
TRX,Memorial,Trenton
TRY,Tororo,Tororo
TRZ,Tiruchirapalli International Airport,Tiruchirappalli
TSA,Taipei Songshan Airport,Taipei
TSB,Tsumeb,Tsumeb
TSC,Taisha,Taisha
TSD,Tshipise,Messina
TSF,Treviso Airport,Treviso
TSG,Intermediate,
TSH,Tshikapa,Tshikapa
TSI,Tsili Tsili,
TSJ,Tsushima Airport,Busan
TSK,Taskul,Kavieng
TSL,Tamuin,Tamuin
TSM,Taos,Taos
TSN,Tianjin Binhai International Airport,
TSO,Tresco,Hugh Town
TSP,Kern County,Tehachapi
TSQ,Torres,Torres
TSR,Timisoara Traian Vuia International Airport,Giarmata-Vii
TSS,East 34th St Heliport,East Newark
TST,Trang Airport,Trang
TSU,Tabiteuea South,Temaiku Village
TSV,Townsville Airport,Townsville
TSW,Tsewi,
TSX,Tanjung Santan,Bontang Baru
TSY,Tasikmalaya,Jati
TSZ,Tsetserleg,Jargalant
TTA,Tan Tan Airport,Tan-Tan
TTB,Arbatax,Tortoli
TTC,Taltal,Taltal
TTD,Troutdale,La Center
TTE,Babullah Airport,Ternate
TTG,Tartagal,Tartagal
TTH,Thumrait,Salalah
TTI,Tetiaroa Island,Mahina
TTJ,Tottori Airport,Tottori
TTL,Turtle Island,
TTM,Tablon De Tamara,Pore
TTN,Trenton-Mercer Airport,Ewing
TTO,Britton Municipal Airport,Britton
TTQ,Tortuquero,Cariari
TTR,Tana Toraja,Tangratte
TTS,Tsaratanana,
TTT,Taitung Airport,Taitung City
TTU,Sania Ramel,Tetouan
TTW,Tissa Tank,Wattegama
TTX,Mungalalu Truscott Airbase,
TUA,Tulcan,Tulcan
TUB,Tubuai,Moerai
TUC,Benj Matienzo,San Miguel de Tucuman
TUD,Tambacounda,Tambacounda
TUE,Tupile,Nombre de Dios
TUF,Val de Loire Airport,Parcay-Meslay
TUG,Tuguegarao Airport,Carig
TUH,Arnold AFS,Tullahoma
TUI,Turaif Airport,Turayf
TUJ,Tum,Bako
TUK,Turbat Airport,Turbat
TUL,Tulsa International Airport,Owasso
TUM,Tumut,Tumut
TUN,Tunis-Carthage International Airport,Ariana
TUO,Taupo Airport,Taupo
TUP,Tupelo Regional Airport,Tupelo
TUQ,Tougan,Tougan
TUR,Tucurui,Tucurui
TUS,Tucson International Airport,Summit
TUT,Tauta,
TUU,Tabuk Regional Airport,Tabuk
TUV,Tucupita,Tucupita
TUW,Tubala,Mulatupo
TUX,Tumbler Ridge,Tumbler Ridge
TUY,Tulum,Tulum
TUZ,Tucuma,Tupa
TVA,Morafenobe,Mahabe
TVC,Cherry Capital Airport,Traverse City
TVF,Thief River Falls Regional Airport,Thief River Falls
TVI,Thomasville Municipal Airport,Thomasville
TVL,South Lake Tahoe,South Lake Tahoe
TVS,Tangshan Sannuhe Airport,Fengrun
TVU,Matei Airport,Lambasa
TVY,Dawe Airport,Dawei
TWA,Twin Hills,
TWB,Toowoomba,Wilsonton Heights
TWC,Tumxuk Tangwangcheng Airport,Aqal
TWD,Port Townsend,Port Townsend
TWE,Taylor,
TWF,Magic Valley Regional Airport,Twin Falls
TWH,Two Harbors,Avalon
TWN,Tewantin,Noosaville
TWP,Torwood,
TWT,Tawitawi,Bongao
TWU,Tawau Airport,Tawau
TWY,Tawa,
TWZ,Pukaki/Twizel,Pleasant Point
TXC,Balbasovo Air Base,Orsha
TXE,Rembele Airport,Simpang Teritit
TXF,Teixeira de Freitas Airport,Teixeira
TXG,Taichung,Taichung
TXK,Texarkana Municipal Airport,Texarkana
TXL,Tegel Airport,Tegel
TXM,Teminabuan,Teminabuan
TXN,Huangshan Tunxi International Airport,Yiqi
TXR,Tanbar,
TXU,Tabou,Tabou
TYA,Tula,Tula
TYB,Tibooburra,
TYC,Taiyuan Yaocheng Airport,Mengfeng
TYD,Tynda Airport,Tynda
TYE,Tyonek,Nikiski
TYF,Torsby Airport,Torsby
TYG,Thylungra,
TYL,Captain FAP Victor Montes Arias Airport,Talara
TYM,Staniel Cay,Black Point
TYN,Taiyuan Wusu International Airport,Xiaodian
TYP,Tobermorey,
TYR,Tyler Pounds Regional Airport,Chandler
TYS,McGhee Tyson Airport,Alcoa
TYT,Treinta-y-Tres,Treinta y Tres
TYZ,Taylor,Taylor
TZA,Municipal,Belize City
TZC,Tuscola Area,Caro
TZL,Tuzla International Airport,Svojat
TZM,Tizimin,Tizimin
TZN,South Andros,Andros Town
TZO,Tsimiroro,
